Draw Date,Jackpot Amount,Game
2024-10-04,31000000,Powerball
2024-10-01,25000000,Powerball
2024-09-27,18000000,Powerball
2024-09-24,14000000,Powerball
2024-09-20,9000000,Powerball
2024-09-17,5000000,Powerball
2024-09-13,106000000,Powerball
2024-09-10,100000000,Powerball
2024-09-06,90000000,Powerball
2024-10-02,60000000,Lotto
2024-09-28,54000000,Lotto
2024-09-25,50000000,Lotto
2024-09-21,46000000,Lotto
2024-09-18,43000000,Lotto
2024-09-14,39000000,Lotto
2024-09-11,36000000,Lotto
2024-09-07,33000000,Lotto
2024-09-04,30000000,Lotto
2024-10-04,31000000,Powerball
2024-10-01,25000000,Powerball
2024-09-27,18000000,Powerball
2024-09-24,14000000,Powerball
2024-09-20,9000000,Powerball
2024-09-17,5000000,Powerball
2024-09-13,106000000,Powerball
2024-09-10,100000000,Powerball
2024-09-06,90000000,Powerball
2024-10-02,60000000,Lotto
2024-09-28,54000000,Lotto
2024-09-25,50000000,Lotto
2024-09-21,46000000,Lotto
2024-09-18,43000000,Lotto
2024-09-14,39000000,Lotto
2024-09-11,36000000,Lotto
2024-09-07,33000000,Lotto
2024-09-04,30000000,Lotto
